x,y,z,vx,vy,vz,t
-3068.7241256538505,-6043.680513349076,0.0,6.837618500232595,-3.471852099921267,0.0,20410.81081081081
-2463.6271154517212,-6314.561216206107,0.0,7.144083886140169,-2.7872655391147068,0.0,20497.297297297297
-1834.9616172088267,-6525.033163936146,0.0,7.38220482685821,-2.0760143640187523,0.0,20583.783783783783
-1188.7418114504496,-6673.082859119549,0.0,7.549703311833988,-1.3449028342019604,0.0,20670.27027027027
-531.1498125671804,-6757.293972337098,0.0,7.644976954522327,-0.6009251876341131,0.0,20756.756756756757
131.52347333740968,-6776.8608914892675,0.0,7.667114312844474,0.14880125653652787,0.0,20843.243243243243
792.9385300979428,-6731.596427918104,0.0,7.615903607586048,0.8971041864182892,0.0,20929.72972972973
1446.7678767184907,-6621.933607636623,0.0,7.491834750262752,1.6368248961573608,0.0,21016.216216216217
2086.7566029393884,-6448.9215286685685,0.0,7.29609465462178,2.3608867915722405,0.0,21102.702702702703
2706.782204849812,-6214.215325029602,0.0,7.030555885494652,3.0623630715811796,0.0,21189.18918918919
3300.913156316325,-5920.060333263852,0.0,6.6977587445050855,3.7345430034227394,0.0,21275.675675675677
3863.4656601319716,-5569.270608329973,0.0,6.300886946737558,4.3709961472475785,0.0,21362.16216216216
4389.058007471296,-5165.202011814325,0.0,5.843737224824026,4.965633785773261,0.0,21448.648648648646
4872.662082031306,-4711.720094076433,0.0,5.330682903832391,5.512767310964454,0.0,21535.135135135133
5309.651442141824,-4213.163131123148,0.0,4.7666321996701875,6.007162486461855,0.0,21621.62162162162
5695.845598211385,-3674.300602839365,0.0,4.156981103792786,6.444089677507007,0.0,21708.108108108107
6027.5499896678675,-3100.287585900767,0.0,3.507561936945779,6.819368955098625,0.0,21794.594594594593
6301.591341904613,-2496.6154180719072,0.0,2.824587382387205,7.129410201161115,0.0,21881.08108108108
6515.348015917554,-1869.0591784552091,0.0,2.1145911904386256,7.371247370752534,0.0,21967.567567567567
6666.775090804312,-1223.6224359333085,0.0,1.3843655988452537,7.542566910804372,0.0,22054.054054054053
6754.423927921234,-566.4798106793984,0.0,0.6408963580165887,7.641729881367706,0.0,22140.54054054054
6777.456027502109,96.08208942504946,0.0,-0.10870407115466763,7.667787630618187,0.0,22227.027027027027
6735.651050985819,757.7248123182378,0.0,-0.8572645725469832,7.620490875108525,0.0,22313.513513513513
6629.40892882505,1412.1187003983512,0.0,-1.5976239857290875,7.500292082822594,0.0,22400.0
6459.746034929613,2053.0034412966456,0.0,-2.3226995990316475,7.308341146064901,0.0,22486.486486486487
6228.285462623086,2674.2479607551986,0.0,-3.025554925881884,7.0464743760550554,0.0,22572.972972972973
5937.241497685836,3269.9090736726557,0.0,-3.6994660408943423,6.717196942070431,0.0,22659.45945945946
5589.398437633982,3834.2883366477604,0.0,-4.3379859031873504,6.32365891502339,0.0,22745.945945945947
5188.08394712729,4361.986575928174,0.0,-4.935006096812271,5.869625081727886,0.0,22832.432432432433
4737.137238387398,4847.955518014957,0.0,-5.484815136970485,5.359439030214444,0.0,22918.91891891892
4240.8723234591,5287.546107785306,0.0,-5.982153274533397,4.797981451967386,0.0,23005.405405405403
3704.0367669358216,5676.552961428199,0.0,-6.422262644467567,4.190623625382525,0.0,23091.89189189189
3131.7662427111377,6011.254618094709,0.0,-6.80093293890717,3.5431758372667095,0.0,23178.378378378377
2529.5354278351438,6288.449124673908,0.0,-7.114541553511965,2.8618319928893867,0.0,23264.864864864863
1903.1056092256558,6505.484678873852,0.0,-7.360088340038718,2.1531101952398743,0.0,23351.35135135135
1258.4695772896544,6660.284992838489,0.0,-7.53522425169214,1.4237904927314187,0.0,23437.837837837837
601.7942959365497,6751.369156470662,0.0,-7.638273835523755,0.6808499893222059,0.0,23524.324324324323
-60.63809843328906,6777.865806055408,0.0,-7.668251260662727,-0.06860391822460965,0.0,23610.81081081081
-722.4903942367212,6739.521459129985,0.0,-7.62486974538431,-0.8174015259956227,0.0,23697.297297297297
-1377.4309275991056,6636.702939829989,0.0,-7.508544302590053,-1.5583793954586365,0.0,23783.783783783783
-2019.1941579198008,6470.393869630954,0.0,-7.320387767978373,-2.2844489061740867,0.0,23870.27027027027
-2641.6406058629286,6242.185257455147,0.0,-7.06220015618074,-2.988664053612092,0.0,23956.756756756757
-3238.8155853142857,5954.260280401069,0.0,-6.736451446083905,-3.6642878966755337,0.0,24043.243243243243
-3805.0061776300913,5609.373393845106,0.0,-6.34625792396749,-4.304857051345441,0.0,24129.72972972973
-4334.795872583803,5210.823987508986,0.0,-5.8953524249030576,-4.904243433624325,0.0,24216.216216216217
-4823.116395040225,4762.424815736839,0.0,-5.388048557757776,-5.456712986044499,0.0,24302.702702702703
-5265.296188191743,4268.465525076812,0.0,-4.829199499769607,-5.9569804485620805,0.0,24389.18918918919
